科目,层级,类型,2017-12-31,2017-09-30,2017-06-30,2017-03-31
流动资产,0,section
货币资金,1,item,1785736.39,1661305.32,1888495.39,1725640.48
交易性金融资产,1,item,172616.66,128485.04,15352.39,66222.24
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,4393639.98,--,3681764.63,3714698.61
应收票据,1,item,3185702.41,2315662.99,2193474.30,2034068.22
应收账款,1,item,1207937.57,1671670.73,1488290.33,1680630.39
应收款项融资,1,item,--,--,--,--
预付款项,1,item,801840.11,880327.23,1256043.46,952755.96
其他应收款(合计),1,total,275986.54,--,236713.41,276453.78
应收利息,1,item,1356.90,454.19,640.43,18670.21
应收股利,1,item,4504.32,2385.26,5385.26,7086.20
其他应收款,1,item,270125.32,232407.34,230687.72,250697.38
买入返售金融资产,1,item,358391.90,--,--,40000.00
存货,1,item,3948803.76,4708007.12,4609852.12,5346281.30
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,54798.22,--,65523.75,504879.48
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,1537447.48,1653621.68,2456259.59,2403580.29
流动资产合计,1,total,13329261.05,13254326.91,14210004.74,15030512.15
非流动资产,0,section
发放贷款及垫款,1,item,394177.15,326212.34,305274.05,378401.51
可供出售金融资产,1,item,1301677.21,1308548.75,1296405.15,1345568.06
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,32344.36,34944.81,34523.89,29015.20
长期股权投资,1,item,1728646.25,1289977.80,1098858.70,1069770.01
投资性房地产,1,item,43790.69,44353.28,45215.58,36020.78
在建工程(合计),1,total,1009506.57,--,950936.78,1123685.87
在建工程,1,item,997499.33,856765.30,944098.11,1117619.76
工程物资,1,item,12007.24,4776.98,6838.67,6066.11
固定资产及清理(合计),1,total,15422165.93,--,15915086.82,16100181.58
固定资产净额,1,item,15422165.93,15759141.51,15915086.82,16100181.58
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,1238405.96,1209945.06,1238838.94,1236286.31
开发支出,1,item,--,--,--,--
商誉,1,item,52088.69,52333.62,51092.34,48600.94
长期待摊费用,1,item,133065.07,131004.16,123376.36,117237.23
递延所得税资产,1,item,241398.32,267133.37,237542.23,243250.43
其他非流动资产,1,item,96936.03,121814.75,140864.03,157038.36
非流动资产合计,1,total,21694202.21,21406951.73,21438014.89,21885056.28
资产总计,1,total,35023463.26,34661278.65,35648019.62,36915568.42
流动负债,0,section
短期借款,1,item,6028244.62,6488338.00,6791045.51,5675126.72
交易性金融负债,1,item,37185.35,20895.79,1896.68,983.80
应付票据及应付账款,1,item,3967334.14,--,4295120.39,4995732.30
应付票据,1,item,1051706.38,1086799.92,1330556.90,1486085.84
应付账款,1,item,2915627.76,3115733.18,2964563.49,3509646.46
预收款项,1,item,2374488.38,2205815.74,2238975.86,2367157.27
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,236560.89,314939.12,294817.41,235999.83
应交税费,1,item,469923.08,272087.25,320042.99,446659.47
其他应付款(合计),1,total,260750.16,--,429449.19,449324.29
应付利息,1,item,58205.83,71401.54,51068.84,56602.43
应付股利,1,item,5067.43,9943.17,10678.31,11020.31
其他应付款,1,item,197476.91,187323.17,367702.03,381701.55
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,2040728.14,90649.07,208398.34,185515.18
其他流动负债,1,item,5291.47,330899.57,1125742.25,2113916.93
流动负债合计,1,total,16320663.94,14736740.95,16240788.44,17309645.44
非流动负债,0,section
长期借款,1,item,41336.80,55774.87,56974.09,96395.16
应付债券,1,item,855324.59,2420245.57,2422593.71,2408635.55
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,78104.98,166163.13,72057.63,35972.02
长期应付款(合计),1,total,97427.69,--,428906.78,428468.86
长期应付款,1,item,71241.69,403151.75,402720.78,402282.86
专项应付款,1,item,26186.00,26186.00,26186.00,26186.00
预计非流动负债,1,item,198.96,200.14,438.77,444.25
递延所得税负债,1,item,71477.92,66851.70,66763.15,69113.63
长期递延收益,1,item,111687.93,115583.41,127238.49,113194.70
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,1255558.87,3254156.56,3174972.63,3152224.16
负债合计,1,total,17576222.81,17990897.51,19415761.06,20461869.60
所有者权益,0,section
实收资本(或股本),1,item,2226811.19,2210265.69,2210265.69,2210265.69
资本公积,1,item,4871455.92,4821146.09,4819475.20,4816790.17
减：库存股,1,item,71241.69,4939.53,4939.53,4939.53
其他综合收益,1,item,-30140.35,-14033.22,-23831.57,-16605.73
专项储备,1,item,4158.20,7587.30,7651.13,7052.80
盈余公积,1,item,2977472.11,2789448.44,2789448.44,2789448.44
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,6456963.23,5894787.48,5344910.66,5570724.42
归属于母公司股东权益合计,1,total,16443250.34,15704262.25,15142980.02,15372736.26
少数股东权益,1,item,1003990.11,966118.88,1089278.53,1080962.57
所有者权益(或股东权益)合计,1,total,17447240.45,16670381.13,16232258.56,16453698.83
负债和所有者权益(或股东权益)总计,1,total,35023463.26,34661278.65,35648019.62,36915568.42
