科目,层级,类型,2021-12-31,2021-09-30,2021-06-30,2021-03-31
一、营业总收入,0,item,36534221.67,27895048.91,18571448.34,8382058.82
营业收入,1,item,36434929.81,27822220.42,18525204.58,8360713.87
二、营业总成本,0,item,33716325.95,25211578.63,16686409.16,7670210.01
营业成本,1,item,31604809.35,23505819.20,15571856.22,7146481.49
营业税金及附加,1,item,143229.51,107120.85,72277.88,32494.96
销售费用,1,item,172023.79,216398.84,143847.59,64184.67
管理费用,1,item,439603.02,344049.94,241890.64,137559.19
财务费用,1,item,178789.67,121325.39,74983.33,39399.29
研发费用,1,item,1137071.20,887167.43,562857.11,241509.61
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,-17668.98,12930.00,-1790.78,2749.10
投资收益,1,item,397534.95,283101.63,190917.11,68253.21
其中:对联营企业和合营企业的投资收益,1,item,238310.18,171188.88,95074.68,34358.35
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,3256269.83,3064090.86,2154269.97,791506.03
加:营业外收入,1,item,19037.63,9155.52,7157.64,5273.03
减：营业外支出,1,item,204481.82,160165.37,111148.25,46471.73
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,3070825.64,2913081.01,2050279.35,750307.33
减：所得税费用,1,item,425323.56,503366.87,373782.78,145647.41
五、净利润,0,item,2645502.07,2409714.14,1676496.57,604659.92
归属于母公司所有者的净利润,1,item,2363199.67,2159019.54,1507850.90,535900.87
少数股东损益,1,item,282302.41,250694.60,168645.67,68759.05
六、每股收益,0,section
基本每股收益(元/股),1,item,1.0700,0.9800,0.6800,0.2400
稀释每股收益(元/股),1,item,1.0700,0.9800,0.6800,0.2400
七、其他综合收益,0,item,-706.37,26949.50,3247.57,-9308.30
八、综合收益总额,0,item,2644795.71,2436663.64,1679744.14,595351.62
归属于母公司所有者的综合收益总额,1,item,2364524.74,2188153.90,1512334.65,527343.06
归属于少数股东的综合收益总额,1,item,280270.97,248509.74,167409.49,68008.56
