科目,层级,类型,2016-12-31,2016-09-30,2016-06-30,2016-03-31
流动资产,0,section
货币资金,1,item,302637.26,330851.30,313857.53,408670.50
交易性金融资产,1,item,85.27,--,--,--
衍生金融资产,1,item,--,--,--,--
应收票据及应收账款,1,item,505441.60,--,413055.14,343764.43
应收票据,1,item,233808.20,219867.53,218021.78,158070.37
应收账款,1,item,271633.40,190907.72,195033.36,185694.06
应收款项融资,1,item,--,--,--,--
预付款项,1,item,31296.88,33989.10,31000.42,43980.17
其他应收款(合计),1,total,24653.36,--,24393.49,25899.49
应收利息,1,item,19363.83,21594.69,20663.70,20988.39
应收股利,1,item,1476.54,1378.14,1378.14,1378.14
其他应收款,1,item,3812.99,5491.70,2351.64,3532.95
买入返售金融资产,1,item,--,--,--,--
存货,1,item,352372.10,257761.93,280025.79,302302.02
划分为持有待售的资产,1,item,--,--,--,--
一年内到期的非流动资产,1,item,--,--,--,--
待摊费用,1,item,--,--,--,--
待处理流动资产损益,1,item,--,--,--,--
其他流动资产,1,item,442589.38,416831.31,301852.27,432797.29
流动资产合计,1,total,1659075.85,1478673.44,1364184.63,1557413.89
非流动资产,0,section
发放贷款及垫款,1,item,--,--,--,--
可供出售金融资产,1,item,5149.96,5000.00,5000.00,5000.00
持有至到期投资,1,item,--,--,--,--
长期应收款,1,item,--,--,--,--
长期股权投资,1,item,14973.33,14985.05,21237.09,13200.08
投资性房地产,1,item,--,--,--,--
在建工程(合计),1,total,22590.79,--,35260.57,34547.03
在建工程,1,item,22590.79,42158.60,35260.57,34547.03
工程物资,1,item,--,--,--,--
固定资产及清理(合计),1,total,1094049.30,--,1090861.35,1132434.55
固定资产净额,1,item,1094049.30,1083162.53,1090861.35,1132434.55
固定资产清理,1,item,--,--,--,--
生产性生物资产,1,item,--,--,--,--
公益性生物资产,1,item,--,--,--,--
油气资产,1,item,--,--,--,--
使用权资产,1,item,--,--,--,--
无形资产,1,item,86962.03,87446.79,85150.50,88616.77
开发支出,1,item,--,--,--,--
商誉,1,item,919.64,825.06,825.06,825.06
长期待摊费用,1,item,--,--,--,--
递延所得税资产,1,item,34134.22,43869.57,39856.49,48634.62
其他非流动资产,1,item,712.88,--,141.78,23.12
非流动资产合计,1,total,1259492.13,1277447.60,1278332.83,1323281.24
资产总计,1,total,2918567.98,2756121.03,2642517.47,2880695.13
流动负债,0,section
短期借款,1,item,586662.39,595705.43,553410.19,646369.69
交易性金融负债,1,item,--,--,--,--
应付票据及应付账款,1,item,729552.29,--,533038.55,536170.01
应付票据,1,item,286497.90,176409.90,147387.00,183430.83
应付账款,1,item,443054.39,364618.35,385651.55,352739.18
预收款项,1,item,134087.74,109049.82,89566.62,82350.70
应付手续费及佣金,1,item,--,--,--,--
应付职工薪酬,1,item,64742.28,55522.50,59031.13,56280.70
应交税费,1,item,38347.60,24950.23,19997.38,7668.70
其他应付款(合计),1,total,69388.98,--,52696.01,69851.31
应付利息,1,item,6595.52,10604.59,16267.21,18474.45
应付股利,1,item,438.82,3813.66,4834.65,--
其他应付款,1,item,62354.64,56877.48,31594.16,51376.86
预提费用,1,item,--,--,--,--
一年内的递延收益,1,item,--,--,--,--
应付短期债券,1,item,--,--,--,--
一年内到期的非流动负债,1,item,90195.55,142864.71,143919.30,93886.87
其他流动负债,1,item,100000.00,100998.47,100000.00,251692.86
流动负债合计,1,total,1812976.82,1641415.13,1551659.18,1744270.83
非流动负债,0,section
长期借款,1,item,--,36950.00,36950.00,85900.00
应付债券,1,item,159640.28,159606.91,159577.43,159547.94
租赁负债,1,item,--,--,--,--
长期应付职工薪酬,1,item,13687.46,14264.34,14264.34,16052.66
长期应付款(合计),1,total,--,--,--,--
长期应付款,1,item,--,--,--,--
专项应付款,1,item,--,--,--,--
预计非流动负债,1,item,--,--,--,--
递延所得税负债,1,item,1278.43,1257.15,1225.17,1311.20
长期递延收益,1,item,23431.31,17785.58,18478.28,19170.98
其他非流动负债,1,item,--,--,--,--
非流动负债合计,1,total,198037.48,229863.98,230495.21,281982.77
负债合计,1,total,2011014.30,1871279.11,1782154.39,2026253.60
所有者权益,0,section
实收资本(或股本),1,item,278689.62,139344.81,139344.81,139344.81
资本公积,1,item,428630.21,567975.02,567975.02,567975.02
减：库存股,1,item,--,--,--,--
其他综合收益,1,item,1324.26,668.09,616.50,372.61
专项储备,1,item,--,--,--,--
盈余公积,1,item,28354.04,25394.81,25394.81,25394.81
一般风险准备,1,item,--,--,--,--
未分配利润,1,item,120368.76,100630.94,84116.94,68033.62
归属于母公司股东权益合计,1,total,857366.88,834013.66,817448.07,801120.87
少数股东权益,1,item,50186.79,50828.26,42915.00,53320.66
所有者权益(或股东权益)合计,1,total,907553.68,884841.92,860363.08,854441.53
负债和所有者权益(或股东权益)总计,1,total,2918567.98,2756121.03,2642517.47,2880695.13
