科目,层级,类型,2024-12-31,2024-09-30,2024-06-30,2024-03-31
一、经营活动产生的现金流量,0,section
销售商品、提供劳务收到的现金,1,item,4150034.62,3032197.31,2122865.68,1032458.24
收到的税费返还,1,item,11653.95,10201.22,8042.80,1.46
收到的其他与经营活动有关的现金,1,item,477487.94,432345.57,314007.70,204870.70
经营活动现金流入小计,1,total,4639176.50,3474744.11,2444916.19,1237344.30
购买商品、接受劳务支付的现金,1,item,3781768.05,2823132.49,2003332.20,1039744.30
支付给职工以及为职工支付的现金,1,item,287157.91,209543.68,138107.98,57786.68
支付的各项税费,1,item,69398.31,68326.56,41206.49,25766.12
支付的其他与经营活动有关的现金,1,item,229458.63,268926.45,201927.44,116399.46
经营活动现金流出小计,1,total,4367782.90,3369929.18,2384574.11,1239696.74
经营活动产生的现金流量净额,1,item,271393.60,104814.92,60342.08,-2352.44
二、投资活动产生的现金流量,0,section
收回投资所收到的现金,1,item,513241.20,320065.71,263168.49,120668.49
取得投资收益所收到的现金,1,item,41267.49,36056.56,32513.62,12011.71
处置固定资产、无形资产和其他长期资产所收回的现金净额,1,item,1.54,0.89,--,--
收到的其他与投资活动有关的现金,1,item,--,10.76,10.76,--
投资活动现金流入小计,1,total,554510.23,356133.93,295692.87,132680.19
购建固定资产、无形资产和其他长期资产所支付的现金,1,item,69259.24,36869.54,17887.73,8576.38
投资所支付的现金,1,item,588965.94,407111.66,400611.66,185970.00
支付的其他与投资活动有关的现金,1,item,3921.83,--,--,--
投资活动现金流出小计,1,total,662147.01,443981.20,418499.39,194546.38
投资活动产生的现金流量净额,1,item,-107636.77,-87847.27,-122806.52,-61866.19
三、筹资活动产生的现金流量,0,section
吸收投资收到的现金,1,item,--,--,--,--
其中：子公司吸收少数股东投资收到的现金,1,item,--,--,--,--
取得借款收到的现金,1,item,295261.00,196187.94,152097.94,62423.32
发行债券收到的现金,1,item,--,--,--,--
收到其他与筹资活动有关的现金,1,item,200.00,3500.00,3500.00,--
筹资活动现金流入小计,1,total,295461.00,199687.94,155597.94,62423.32
偿还债务支付的现金,1,item,368650.00,212200.00,193800.00,97100.00
分配股利、利润或偿付利息所支付的现金,1,item,61384.65,63694.53,11863.67,5088.62
其中：子公司支付给少数股东的股利、利润,1,item,380.00,--,--,--
支付其他与筹资活动有关的现金,1,item,36018.09,10415.82,3477.86,3477.86
筹资活动现金流出小计,1,total,466052.73,286310.35,209141.53,105666.49
筹资活动产生的现金流量净额,1,item,-170591.73,-86622.41,-53543.59,-43243.17
四、汇率变动对现金及现金等价物的影响,0,item,-2188.11,-4265.26,-2199.85,-1233.76
五、现金及现金等价物净增加额,0,item,-9023.01,-73920.01,-118207.88,-108695.56
加:期初现金及现金等价物余额,1,item,424927.71,424927.71,424927.71,424927.71
六、期末现金及现金等价物余额,0,item,415904.69,351007.70,306719.82,316232.14
附注,0,section
净利润,1,item,5435.79,--,-7063.00,--
少数股东权益,1,item,--,--,--,--
未确认的投资损失,1,item,--,--,--,--
资产减值准备,1,item,22451.24,--,6242.42,--
固定资产折旧、油气资产折耗、生产性物资折旧,1,item,105924.88,--,53862.02,--
无形资产摊销,1,item,4674.61,--,1613.09,--
长期待摊费用摊销,1,item,618.97,--,312.21,--
待摊费用的减少,1,item,--,--,--,--
预提费用的增加,1,item,--,--,--,--
处置固定资产、无形资产和其他长期资产的损失,1,item,-20.09,--,3.25,--
固定资产报废损失,1,item,1946.35,--,287.75,--
公允价值变动损失,1,item,-698.00,--,--,--
递延收益增加（减：减少）,1,item,--,--,--,--
预计负债,1,item,--,--,--,--
财务费用,1,item,15611.00,--,8160.84,--
投资损失,1,item,-91088.21,--,-44690.06,--
递延所得税资产减少,1,item,-16981.48,--,1335.36,--
递延所得税负债增加,1,item,-236.23,--,7.22,--
存货的减少,1,item,48940.35,--,34261.95,--
经营性应收项目的减少,1,item,458142.94,--,59852.85,--
经营性应付项目的增加,1,item,-286327.81,--,-52903.88,--
已完工尚未结算款的减少(减:增加),1,item,--,--,--,--
已结算尚未完工款的增加(减:减少),1,item,--,--,--,--
其他,1,item,--,--,--,--
经营活动产生现金流量净额,1,item,271393.60,--,60342.08,--
债务转为资本,1,item,--,--,--,--
一年内到期的可转换公司债券,1,item,--,--,--,--
融资租入固定资产,1,item,--,--,--,--
现金的期末余额,1,item,415904.69,--,306719.82,--
现金的期初余额,1,item,424927.71,--,424927.71,--
现金等价物的期末余额,1,item,--,--,--,--
现金等价物的期初余额,1,item,--,--,--,--
现金及现金等价物的净增加额,1,item,-9023.01,--,-118207.88,--
