科目,层级,类型,2021-12-31,2021-09-30,2021-06-30,2021-03-31
一、营业总收入,0,item,10491283.98,8544525.83,5460921.74,2530475.85
营业收入,1,item,10491283.98,8544525.83,5460921.74,2530475.85
二、营业总成本,0,item,10007208.79,8167643.79,5198846.85,2426943.90
营业成本,1,item,9837706.75,8022616.53,5108127.70,2392910.32
营业税金及附加,1,item,31837.68,23638.02,15753.25,7616.29
销售费用,1,item,14373.91,14064.23,9512.72,4446.20
管理费用,1,item,52285.66,38794.55,25459.32,7881.56
财务费用,1,item,9768.17,10006.63,6174.29,2645.80
研发费用,1,item,61236.63,58523.83,33819.56,11443.72
资产减值损失,1,item,--,--,--,--
公允价值变动收益,1,item,1296.71,845.63,348.56,--
投资收益,1,item,31610.59,21256.96,13733.02,7482.88
其中:对联营企业和合营企业的投资收益,1,item,1757.75,1148.08,762.58,383.47
汇兑收益,1,item,--,--,--,--
三、营业利润,0,item,523478.57,408613.57,283946.92,114594.21
加:营业外收入,1,item,2466.85,716.85,638.71,546.15
减：营业外支出,1,item,3714.07,260.77,113.02,13.63
其中：非流动资产处置损失,1,item,--,--,--,--
四、利润总额,0,item,522231.35,409069.65,284472.61,115126.73
减：所得税费用,1,item,75225.25,55864.62,36956.08,15366.10
五、净利润,0,item,447006.10,353205.04,247516.52,99760.64
归属于母公司所有者的净利润,1,item,434455.86,343004.75,240487.37,97077.56
少数股东损益,1,item,12550.24,10200.28,7029.15,2683.08
六、每股收益,0,section
基本每股收益(元/股),1,item,1.3900,1.1000,0.7700,0.3000
稀释每股收益(元/股),1,item,1.3900,1.1000,0.7700,0.3000
七、其他综合收益,0,item,-538.78,-135.13,-230.25,158.84
八、综合收益总额,0,item,446467.33,353069.90,247286.27,99919.48
归属于母公司所有者的综合收益总额,1,item,433917.09,342869.62,240257.12,97236.40
归属于少数股东的综合收益总额,1,item,12550.24,10200.28,7029.15,2683.08
