year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2014,3,7,567508,3337.2,3410.0,3402.0
2014,4,21,413050,3405.4,3344.0,3344.0
2014,5,21,163114,3312.0,3264.0,3270.0
2014,6,20,213028,3264.7,3286.0,3290.0
2014,7,23,142524,3313.5,3290.0,3294.0
2014,8,21,98204,3283.0,3164.0,3154.0
2014,9,21,270002,2921.8,2816.0,2816.0
2014,10,18,213686,2859.8,2856.0,2856.0
2014,11,20,128214,2875.7,2960.0,2952.0
2014,12,23,99484,2917.6,2928.0,2924.0
2015,1,20,246644,2659.3,2600.0,2612.0
2015,2,15,172622,2594.3,2584.0,2599.0
2015,3,22,270110,2534.8,2478.0,2484.0
2015,4,21,220392,2435.0,2487.0,2478.0
2015,5,20,258454,2490.9,2460.0,2455.0
2015,6,21,218928,2354.1,2220.0,2219.0
2015,7,23,392194,2073.7,2063.0,2060.0
2015,8,21,267788,2034.8,1959.0,1967.0
2015,9,21,239426,1931.8,1853.0,1862.0
2015,10,18,142610,1853.6,1819.0,1816.0
2015,11,21,244164,1758.6,1691.0,1702.0
2015,12,23,807092,1849.9,1949.0,1949.0
2016,1,20,1599988,1918.0,1909.0,1907.0
2016,2,16,1553578,2009.9,2089.0,2065.0
2016,3,23,5642798,2285.1,2389.0,2359.0
2016,4,20,10051248,2696.7,2731.0,2737.0
2016,5,21,7447538,2289.2,2201.0,2229.0
2016,6,20,6229562,2289.4,2502.0,2467.0
2016,7,21,7912992,2571.8,2596.0,2633.0
2016,8,23,5999722,2752.0,2734.0,2784.0
2016,9,20,4764236,2583.6,2541.0,2551.0
2016,10,16,5028822,2773.6,2969.0,2930.0
2016,11,22,10209896,3284.3,3247.0,3307.0
2016,12,22,10685288,3595.4,3305.0,3329.0
2017,1,19,5304402,3502.7,3660.0,3643.0
2017,2,18,5491436,3625.0,3549.0,3661.0
2017,3,23,8196224,3425.7,3165.0,3193.0
2017,4,18,10202782,3009.5,3149.0,3107.0
2017,5,20,16086038,3016.2,3037.0,3101.0
2017,6,22,20732754,3169.8,3383.0,3369.0
2017,7,21,18013304,3573.6,3802.0,3760.0
2017,8,23,24091962,3957.0,4072.0,4010.0
2017,9,21,20624724,4081.7,3978.0,3883.0
2017,10,17,17422882,3985.4,3886.0,3880.0
2017,11,22,15097288,3936.7,3968.0,4005.0
2017,12,21,16969874,3914.8,3846.0,3861.0
2018,1,22,12799456,3879.8,3934.0,3932.0
2018,2,15,7425276,4003.3,4087.0,4086.0
2018,3,22,14137666,3793.7,3726.0,3659.0
2018,4,18,10354824,3585.9,3698.0,3683.0
2018,5,22,13488642,3778.5,3901.0,3885.0
2018,6,20,11742826,3902.2,3926.0,3907.0
2018,7,22,11612050,3998.1,4211.0,4198.0
2018,8,23,11419854,4220.3,4064.0,4091.0
2018,9,19,13332328,4017.2,3869.0,3846.0
2018,10,18,12754124,3896.8,3802.0,3791.0
2018,11,22,15954568,3603.6,3173.0,3185.0
2018,12,20,14744872,3372.4,3345.0,3344.0
2019,1,22,11942834,3479.0,3610.0,3594.0
2019,2,15,8664668,3667.6,3778.0,3748.0
2019,3,21,11489346,3720.8,3741.0,3707.0
2019,4,20,8291514,3389.0,3793.0,0.0
2019,5,20,11001332,3688.3,3625.0,3633.0
2019,6,19,13541346,3722.0,3953.0,3934.0
2019,7,23,11541140,3881.3,3806.0,3816.0
2019,8,22,7650224,3670.2,3407.0,3383.0
2019,9,20,8434276,3483.6,3463.0,3480.0
2019,10,18,7388010,3346.7,3351.0,3369.0
2019,11,21,8339060,3449.5,3556.0,3553.0
2019,12,22,7591542,3596.3,3592.0,3590.0
2020,1,16,2093248,3590.6,3521.0,3529.0
2020,2,20,3008008,3392.0,3377.0,3382.0
2020,3,22,4987145,3368.2,3071.0,3090.0
2020,4,21,6129418,3139.8,3211.0,3199.0
2020,5,18,4436497,3394.6,3542.0,3499.0
2020,6,20,6710376,3567.8,3578.0,3583.0
2020,7,23,5147094,3725.3,3848.0,3821.0
2020,8,21,3953700,3929.5,4011.0,3988.0
2020,9,22,5230576,3765.7,3692.0,3689.0
2020,10,16,3223012,3783.9,3864.0,3855.0
2020,11,21,3848244,4004.4,4175.0,4163.0
2020,12,23,14920430,4486.3,4554.0,4488.0
2021,1,20,13283262,4473.9,4390.0,4409.0
2021,2,15,7165986,4611.6,4887.0,4887.0
2021,3,23,17393699,5059.0,5383.0,5384.0
2021,4,21,16958369,5520.7,5688.0,5729.0
2021,5,18,20687141,5827.2,5354.0,5395.0
2021,6,21,14805198,5337.2,5428.0,5400.0
2021,7,22,12600370,5840.2,6169.0,6132.0
2021,8,22,12218759,5652.6,5564.0,5624.0
2021,9,20,13407611,5704.5,5713.0,5705.0
2021,10,16,13777071,5425.2,5003.0,5037.0
2021,11,22,19689519,4543.8,4588.0,4567.0
2021,12,23,12493862,4343.7,4411.0,4418.0
2022,1,19,7764074,4724.5,4945.0,4881.0
2022,2,16,7133008,4923.8,4952.0,4868.0
2022,3,23,11786067,5157.4,5218.0,5233.0
