year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2014,1,20,1973120,779.8,868.0,866.0
2014,2,16,1310410,845.7,808.0,812.0
2014,3,19,12377286,747.3,794.0,789.0
2014,4,21,14676388,792.8,765.0,763.0
2014,5,21,14239882,722.4,680.0,685.0
2014,6,20,13790180,683.5,694.0,699.0
2014,7,23,15448964,698.5,680.0,678.0
2014,8,21,13624540,657.6,628.0,627.0
2014,9,21,19314652,582.8,551.0,548.0
2014,10,17,14200416,555.6,532.0,532.0
2014,11,20,18733858,492.1,485.0,485.0
2014,12,23,21003220,484.0,509.0,508.0
2015,1,20,13298982,497.2,474.0,474.0
2015,2,14,5046222,479.9,485.0,486.0
2015,3,22,15725140,438.6,401.0,404.0
2015,4,21,34466222,398.8,413.5,412.0
2015,5,20,45851992,429.9,432.0,425.0
2015,6,21,35161386,438.3,416.0,421.0
2015,7,23,41617946,369.7,367.0,366.0
2015,8,21,51465950,374.2,389.0,385.5
2015,9,21,54372680,390.9,366.0,366.5
2015,10,18,36750562,370.0,362.5,361.0
2015,11,21,39929202,333.4,293.5,296.0
2015,12,23,54854384,300.4,322.0,325.0
2016,1,20,53493306,315.7,321.0,320.0
2016,2,16,48687180,351.3,369.5,364.0
2016,3,23,113231172,406.8,380.0,378.5
2016,4,20,90560578,426.7,462.0,456.0
2016,5,21,42718190,377.4,344.0,347.5
2016,6,20,27342560,378.0,428.0,424.0
2016,7,21,34863030,440.0,461.5,468.5
2016,8,23,35504446,447.6,412.5,415.5
2016,9,20,30696274,409.9,404.5,407.5
2016,10,16,24888072,449.2,502.0,494.5
2016,11,22,38667798,564.5,556.0,566.0
2016,12,22,42410684,589.2,548.0,554.5
2017,1,19,25389978,571.4,660.0,647.0
2017,2,18,29177284,687.9,690.5,705.5
2017,3,23,36801072,642.4,552.0,556.0
2017,4,18,38965642,507.9,521.0,509.5
2017,5,20,55204318,472.2,424.5,438.5
2017,6,22,53534802,435.0,473.5,471.0
2017,7,21,48528760,500.2,570.5,555.0
2017,8,23,69097628,560.7,573.0,559.0
2017,9,21,62727146,518.6,454.5,452.0
2017,10,18,46407168,448.6,428.0,426.0
2017,11,22,49876486,0.0,520.0,0.0
2017,12,21,63426118,0.0,531.5,0.0
2018,1,22,49550140,0.0,510.0,0.0
2018,2,15,24445672,0.0,543.0,0.0
2018,3,22,47723980,331.5,443.5,438.0
2018,4,18,57265220,456.1,460.5,464.0
2018,5,22,54961196,470.4,462.5,461.5
2018,6,20,34779524,465.0,474.0,472.0
2018,7,22,24012762,467.2,488.0,487.5
2018,8,23,25733786,496.7,485.0,487.5
2018,9,19,18450918,497.0,495.5,493.0
2018,10,18,16532588,522.7,533.5,533.0
2018,11,22,23641352,508.2,455.0,454.5
2018,12,20,18714170,481.1,495.0,492.5
2019,1,22,24161592,532.0,588.5,584.5
2019,2,15,28787384,617.8,609.5,603.0
