year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2014,1,20,10422556,1307.9,1350.0,1349.0
2014,2,16,7557624,1315.4,1273.0,1276.0
2014,3,19,16055832,1209.3,1220.0,1229.0
2014,4,21,15054010,1228.4,1166.0,1175.0
2014,5,21,12016126,1172.1,1159.0,1155.0
2014,6,20,10284336,1149.8,1127.0,1133.0
2014,7,23,8588656,1121.3,1128.0,1127.0
2014,8,21,9130168,1115.2,1106.0,1104.0
2014,9,21,8820930,1077.5,1050.0,1053.0
2014,10,18,5644384,1085.8,1085.0,1087.0
2014,11,20,2940670,1058.3,1039.0,1042.0
2014,12,23,4092980,1028.7,1032.0,1039.0
2015,1,20,2470330,1041.8,1025.0,1024.0
2015,2,14,526386,1032.0,1021.0,1023.0
2015,3,22,997644,977.7,940.0,943.0
2015,4,21,3096478,918.9,913.0,914.0
2015,5,20,5568118,919.0,915.5,913.0
2015,6,20,2433670,899.1,868.0,867.0
2015,7,23,2592676,830.7,823.5,818.0
2015,8,21,1297102,805.5,786.0,791.5
2015,9,21,1356872,778.2,759.5,759.0
2015,10,18,1478858,739.1,725.0,725.0
2015,11,21,2236358,672.7,611.5,615.0
2015,12,23,3170638,624.5,643.0,645.0
2016,1,20,3227774,634.4,639.5,641.0
2016,2,16,3492462,679.9,712.0,704.0
2016,3,23,10701468,750.7,792.0,780.5
2016,4,19,27951680,978.0,1107.0,1090.5
2016,5,21,9286688,940.5,851.5,858.0
2016,6,20,2975926,875.3,952.0,944.5
2016,7,21,2860924,1003.1,1075.0,1077.5
2016,8,23,5186482,1222.9,1175.0,1219.5
2016,9,20,7267400,1212.3,1309.5,1289.5
2016,10,16,7631772,1561.6,1816.0,1759.0
2016,11,22,8166014,2004.0,2078.0,2067.0
2016,12,22,2980734,1720.7,1518.0,1538.0
2017,1,19,2046992,1633.1,1699.5,1668.0
2017,2,18,2059278,1655.7,1718.0,1727.0
2017,3,23,2093850,1830.1,1777.0,1755.0
2017,4,18,3496310,1653.7,1629.0,1612.0
2017,5,20,4184772,1533.9,1427.0,1486.0
2017,6,22,4472380,1549.3,1752.0,1741.0
2017,7,21,4285364,1874.4,2064.0,2015.0
2017,8,23,8569184,2242.3,2345.0,2338.0
2017,9,21,10312198,2218.9,1945.0,1900.0
2017,10,18,8728574,1773.9,1670.5,1675.0
2017,11,22,9296938,0.0,2154.0,0.0
2017,12,21,11933280,0.0,1979.5,0.0
2018,1,22,7681754,0.0,2007.0,0.0
2018,2,15,4405984,0.0,2239.5,0.0
2018,3,22,8544768,1381.9,1822.0,1792.5
2018,4,18,8053912,1847.7,1895.0,1909.5
2018,5,22,9863738,2032.8,2085.0,2073.0
2018,6,20,9479196,2088.8,2118.0,2076.5
2018,7,22,8778570,2064.1,2265.0,2270.5
2018,8,23,13591166,2506.2,2426.0,2435.5
2018,9,19,11897566,2327.0,2264.0,2237.0
2018,10,18,12728018,2421.4,2386.0,2384.0
2018,11,22,15613062,2290.0,2135.0,2122.5
2018,12,20,13932342,2004.0,1901.0,1884.5
2019,1,22,11926050,1998.9,2062.0,2042.5
2019,2,15,7011600,2101.6,2125.0,2120.0
2019,3,21,8434384,2015.5,1984.5,1975.5
2019,4,20,6534936,2032.9,2048.0,2038.5
2019,5,20,9248824,2211.0,2140.5,2183.0
2019,6,19,9951580,2103.4,2071.0,2065.5
2019,7,23,8268514,2138.6,2141.5,2150.0
2019,8,22,8127856,1967.3,1891.0,1882.0
2019,9,20,7518324,1935.4,1873.0,1884.5
2019,10,18,7377758,1789.4,1737.5,1741.0
2019,11,21,8130178,1781.8,1849.5,1857.5
2019,12,22,6820424,1623.9,1883.0,1871.5
2020,1,16,1679653,1724.6,1832.0,1841.5
2020,2,20,2171070,714.1,1789.0,0.0
2020,3,22,2448036,197.0,1763.5,0.0
2020,4,21,3265568,0.0,1693.0,0.0
2020,5,18,3101612,0.0,1877.0,0.0
2020,6,20,4115341,0.0,1885.0,0.0
2020,7,23,3492928,847.0,1991.0,1972.0
2020,8,21,2522044,1985.6,1965.5,1952.5
2020,9,22,4070813,1968.4,1987.0,1968.0
2020,10,16,3167639,2120.3,2189.0,2178.0
2020,11,21,4934322,2395.2,2467.0,2466.0
2020,12,23,5961887,2682.7,2826.0,2804.5
2021,1,20,6137214,2789.5,2554.0,2571.0
2021,2,15,3445310,2588.7,2531.5,2559.0
2021,3,23,5979280,2309.8,2334.0,2285.0
2021,4,21,4362341,2514.8,2606.5,2650.0
2021,5,18,5868979,2595.8,2479.0,2470.0
2021,6,21,7110485,2660.4,2633.5,2631.5
2021,7,22,6807751,2672.9,2943.0,2928.0
2021,8,22,6086136,2996.6,3159.0,3153.5
2021,9,20,2432007,3390.1,3551.0,3438.5
2021,10,16,1212356,3771.2,2978.0,3108.0
2021,11,22,653678,2915.4,2663.0,2656.0
2021,12,23,822796,2834.9,2934.0,2907.0
2022,1,19,659966,3048.0,3100.0,3013.0
2022,2,16,626998,3215.7,3296.5,3245.0
2022,3,23,694432,3626.2,3935.0,3915.0
2022,4,19,532799,3874.1,3625.0,3540.0
2022,5,19,645889,3385.6,3511.5,3494.0
2022,6,21,867881,3299.4,3057.5,3126.5
2022,7,21,993831,2777.4,2822.0,2819.0
2022,8,23,814685,2811.7,2454.0,2454.5
2022,9,21,724362,2613.8,2791.0,2794.5
2022,10,16,528915,2655.6,2393.0,2432.5
2022,11,22,680591,2662.6,2809.0,2831.0
2022,12,22,636610,2776.6,2670.0,2705.0
2023,1,16,475530,2762.0,2826.5,2880.0
2023,2,20,619600,2810.8,2901.5,2909.0
2023,3,23,708767,2825.0,2743.5,2724.5
2023,4,19,533966,2369.2,2149.0,2147.0
2023,5,20,860556,2101.3,1901.5,1899.0
2023,6,20,795697,2061.2,2124.5,2117.0
2023,7,21,735733,2200.2,2282.0,2273.5
2023,8,23,739371,2221.0,2250.0,2236.0
2023,9,20,801353,2433.2,2539.5,2501.0
2023,10,17,645985,2392.9,2453.0,2442.0
2023,11,22,765298,2595.1,2631.5,2618.5
2023,12,21,576201,2567.4,2491.5,2478.5
2024,1,22,507830,2450.3,2346.0,2373.0
2024,2,15,319066,2344.1,2381.5,2376.5
2024,3,21,462886,2200.3,1990.0,1999.5
2024,4,20,455531,2190.1,2355.0,2363.0
2024,5,20,494127,2305.5,2273.0,2308.5
2024,6,19,445539,2255.6,2250.0,2235.5
2024,7,23,453202,2209.0,2036.5,2037.5
2024,8,22,429531,1939.9,1996.5,2001.5
2024,9,19,490306,1785.8,2257.0,2178.0
2024,10,18,440031,2072.4,2028.0,2026.0
2024,11,21,441204,1953.9,1875.5,1878.5
2024,12,22,350574,1824.3,1812.0,1817.5
2025,1,18,345461,1752.5,1785.0,1775.5
2025,2,18,398815,1713.6,1684.0,1677.5
2025,3,21,444089,1620.7,1582.5,1588.5
2025,4,21,436745,1572.0,1538.0,1546.5
2025,5,19,457342,1424.6,1308.0,1313.5
2025,6,20,590830,1360.2,1404.0,1423.5
2025,7,23,882272,1594.4,1601.0,1634.0
2025,8,21,605335,1692.3,1643.0,1653.0
2025,9,22,578844,1664.4,1623.0,1645.5
2025,10,17,346852,1710.2,1777.0,1792.5
2025,11,20,392735,1683.3,1574.5,1574.5
2025,12,23,423302,1631.7,1693.0,1698.0
