year,month,monthly_traded_sessions,monthly_volume_sum,monthly_volume_weighted_price,month_end_close,month_end_settle
2014,1,20,24068946,3264.5,3455.0,3447.0
2014,2,16,17467008,3386.5,3318.0,3321.0
2014,3,19,43325300,3273.8,3328.0,3326.0
2014,4,21,41738400,3313.4,3227.0,3231.0
2014,5,20,41274800,3135.0,3056.0,3069.0
2014,6,20,38728400,3051.8,3076.0,3078.0
2014,7,23,46665800,3090.4,3069.0,3073.0
2014,8,21,48064470,3033.5,2940.0,2937.0
2014,9,21,102249402,2716.1,2532.0,2546.0
2014,10,18,77121164,2585.1,2565.0,2577.0
2014,11,20,114298514,2505.6,2548.0,2542.0
2014,12,23,111503676,2542.7,2594.0,2593.0
2015,1,20,80186900,2519.1,2498.0,2500.0
2015,2,15,20958190,2492.2,2465.0,2488.0
2015,3,22,62295816,2485.7,2431.0,2445.0
2015,4,21,129697482,2336.9,2365.0,2361.0
2015,5,20,81191842,2381.1,2359.0,2349.0
2015,6,21,67505638,2273.0,2135.0,2131.0
2015,7,22,94372958,2041.3,2095.0,2092.0
2015,8,21,92673858,2029.2,1952.0,1960.0
2015,9,21,73050390,1924.2,1821.0,1826.0
2015,10,18,42792348,1819.1,1782.0,1787.0
2015,11,21,61291548,1713.5,1626.0,1637.0
2015,12,23,120644100,1703.7,1784.0,1789.0
2016,1,20,121453054,1802.3,1814.0,1815.0
2016,2,16,64613490,1886.7,1969.0,1939.0
2016,3,23,220778034,2112.3,2136.0,2122.0
2016,4,20,262426340,2455.3,2580.0,2567.0
2016,5,21,181307568,2111.0,1978.0,1999.0
2016,6,20,124296424,2114.1,2337.0,2295.0
2016,7,21,149391356,2406.2,2412.0,2444.0
2016,8,23,114685558,2534.5,2392.0,2422.0
2016,9,20,106117340,2324.1,2253.0,2264.0
2016,10,16,80287342,2449.3,2600.0,2582.0
2016,11,22,97084416,2879.0,3000.0,3040.0
2016,12,22,88788478,3187.4,2867.0,2911.0
2017,1,19,60248530,2991.9,3369.0,3339.0
2017,2,18,59784330,3405.8,3471.0,3564.0
2017,3,23,77432138,3365.3,3152.0,3166.0
2017,4,18,93794152,2975.6,3115.0,3066.0
2017,5,20,156139518,3109.9,3095.0,3181.0
2017,6,22,160526320,3083.8,3347.0,3306.0
2017,7,21,145031390,3522.4,3733.0,3663.0
2017,8,23,113317042,3859.4,3927.0,3849.0
2017,9,21,84835670,3843.1,3695.0,3603.0
2017,10,17,56247572,3671.7,3628.0,3597.0
2017,11,22,75552740,3774.8,3990.0,3997.0
2017,12,21,99927772,3873.2,3794.0,3794.0
2018,1,22,76970710,3858.7,3915.0,3918.0
2018,2,15,35036010,3944.5,4020.0,4019.0
2018,3,22,77918616,3655.8,3391.0,3323.0
2018,4,18,88442768,3448.1,3593.0,3574.0
2018,5,22,84054606,3633.4,3696.0,3671.0
2018,6,20,80194368,3779.1,3807.0,3783.0
2018,7,22,77023468,3911.8,4171.0,4156.0
2018,8,23,79053738,4241.2,4086.0,4096.0
2018,9,19,78169984,4110.3,3944.0,3942.0
2018,10,18,70060462,4118.5,4127.0,4135.0
2018,11,22,81797216,3807.1,3256.0,3269.0
2018,12,20,85240466,3398.2,3404.0,3400.0
2019,1,22,68673472,3583.1,3707.0,3696.0
2019,2,15,51578904,3708.5,3750.0,3733.0
2019,3,21,66871828,3769.3,3758.0,3727.0
2019,4,20,66870280,3543.3,3827.0,0.0
2019,5,20,60809175,3805.3,3750.0,3769.0
2019,6,19,66761626,3830.5,4065.0,4044.0
2019,7,23,74135016,3993.1,3891.0,3907.0
2019,8,22,67919278,3618.3,3350.0,3318.0
2019,9,20,67680608,3461.6,3470.0,3485.0
2019,10,18,60465194,3346.1,3367.0,3374.0
2019,11,21,73985138,3529.0,3620.0,3618.0
2019,12,22,56121962,3527.0,3569.0,3558.0
2020,1,16,14368237,3562.8,3500.0,3515.0
2020,2,20,25114850,3385.8,3335.0,3354.0
2020,3,22,32940767,3447.9,3233.0,3245.0
2020,4,21,31396474,3308.7,3367.0,3343.0
2020,5,18,25429710,3490.4,3579.0,3533.0
2020,6,20,27176412,3607.7,3565.0,3568.0
2020,7,23,24366990,3708.4,3777.0,3758.0
2020,8,21,16534347,3797.4,3779.0,3762.0
2020,9,22,22685126,3629.2,3560.0,3553.0
2020,10,16,14139241,3634.4,3702.0,3687.0
2020,11,21,17573877,3857.0,3906.0,3919.0
2020,12,23,48514034,4205.7,4388.0,4306.0
2021,1,20,38262854,4346.0,4267.0,4270.0
2021,2,15,22382326,4432.1,4677.0,4671.0
2021,3,23,52632999,4767.2,4935.0,4956.0
2021,4,21,46804310,5187.6,5391.0,5418.0
2021,5,18,54338513,5391.4,5027.0,5030.0
2021,6,21,45790515,5059.6,5147.0,5107.0
2021,7,22,35563940,5475.4,5737.0,5732.0
2021,8,22,44099182,5281.7,5308.0,5334.0
2021,9,20,47779655,5519.3,5706.0,5649.0
2021,10,16,47966031,5152.8,4646.0,4690.0
2021,11,22,65280541,4278.3,4163.0,4141.0
2021,12,23,45352161,4213.3,4315.0,4301.0
2022,1,19,24991300,4606.4,4829.0,4764.0
2022,2,16,26266042,4782.1,4693.0,4662.0
2022,3,23,31634350,4910.9,5061.0,5061.0
2022,4,19,33198520,4978.4,4910.0,4863.0
2022,5,19,35192539,4619.6,4684.0,4656.0
2022,6,21,39995654,4450.5,4378.0,4375.0
2022,7,21,50468696,3962.3,3996.0,4014.0
2022,8,23,41538971,4053.0,3677.0,3680.0
2022,9,21,33161676,3727.6,3799.0,3823.0
2022,10,16,27267505,3648.4,3397.0,3441.0
2022,11,22,35169461,3621.0,3748.0,3745.0
2022,12,22,35098005,3952.0,4105.0,4087.0
2023,1,16,19547958,4112.3,4143.0,4181.0
2023,2,20,30107666,4118.4,4174.0,4170.0
2023,3,23,34813661,4224.3,4161.0,4175.0
2023,4,19,29020037,3866.6,3660.0,3683.0
2023,5,20,40463060,3591.2,3463.0,3448.0
2023,6,20,36993849,3683.0,3721.0,3746.0
2023,7,21,37251116,3770.5,3847.0,3849.0
2023,8,23,35538379,3487.6,3740.0,3730.0
2023,9,20,27124940,3777.0,3690.0,3700.0
2023,10,17,22060119,3641.2,3733.0,3729.0
2023,11,22,35492248,3895.7,3913.0,3886.0
2023,12,21,24451600,3971.0,4002.0,4000.0
2024,1,22,24720855,3940.2,3869.0,3895.0
2024,2,15,19422722,3807.8,3788.0,3795.0
2024,3,21,41502593,3586.6,3412.0,3448.0
2024,4,20,32280925,3608.9,3656.0,3670.0
2024,5,20,29925855,3718.5,3706.0,3715.0
2024,6,19,25134654,3610.4,3544.0,3537.0
2024,7,23,34341373,3469.1,3326.0,3319.0
2024,8,22,36227146,3221.5,3222.0,3243.0
2024,9,19,54010197,2966.6,3551.0,3471.0
2024,10,18,56914010,3430.2,3427.0,3434.0
2024,11,21,46647480,3344.0,3318.0,3327.0
2024,12,22,32061858,3334.9,3309.0,3312.0
2025,1,18,24738512,3294.8,3382.0,3371.0
2025,2,18,27164943,3315.7,3328.0,3318.0
2025,3,21,34737278,3225.5,3159.0,3173.0
2025,4,21,31654737,3119.7,3096.0,3096.0
2025,5,19,31253786,3051.7,2961.0,2963.0
2025,6,20,29858118,2975.5,2997.0,3009.0
2025,7,23,47879740,3195.8,3205.0,3243.0
2025,8,21,25757900,3184.9,3160.0,3175.0
2025,9,22,29683712,3134.0,3072.0,3090.0
2025,10,17,18819483,3077.5,3106.0,3109.0
2025,11,20,18589689,3062.9,3110.0,3098.0
2025,12,23,21132465,3115.4,3122.0,3127.0
