ym,RB(螺纹),HC(热卷),iron(铁矿),coke(焦炭),raw_cost(原料成本),RB_spread(螺纹价差),HC_spread(热卷价差)
2014-01,3264.5,,779.8,1307.9,1901.6,1362.9,
2014-02,3386.5,,845.7,1315.4,2010.8,1375.7,
2014-03,3273.8,3337.2,747.3,1209.3,1800.3,1473.5,1536.9
2014-04,3313.4,3405.4,792.8,1228.4,1882.7,1430.7,1522.7
2014-05,3135.0,3312.0,722.4,1172.1,1741.9,1393.1,1570.1
2014-06,3051.8,3264.7,683.5,1149.8,1668.5,1383.3,1596.2
2014-07,3090.4,3313.5,698.5,1121.3,1678.2,1412.2,1635.2
2014-08,3033.5,3283.0,657.6,1115.2,1609.8,1423.7,1673.2
2014-09,2716.1,2921.8,582.8,1077.5,1471.2,1244.9,1450.6
2014-10,2585.1,2859.8,555.6,1085.8,1431.9,1153.2,1427.9
2014-11,2505.6,2875.7,492.1,1058.3,1316.5,1189.1,1559.2
2014-12,2542.7,2917.6,484.0,1028.7,1288.8,1253.9,1628.8
2015-01,2519.1,2659.3,497.2,1041.8,1316.4,1202.7,1342.9
2015-02,2492.2,2594.3,479.9,1032.0,1283.8,1208.4,1310.5
2015-03,2485.7,2534.8,438.6,977.7,1190.6,1295.1,1344.2
2015-04,2336.9,2435.0,398.8,918.9,1097.5,1239.4,1337.5
2015-05,2381.1,2490.9,429.9,919.0,1147.3,1233.8,1343.6
2015-06,2273.0,2354.1,438.3,899.1,1150.8,1122.2,1203.3
2015-07,2041.3,2073.7,369.7,830.7,1006.9,1034.4,1066.8
2015-08,2029.2,2034.8,374.2,805.5,1001.5,1027.7,1033.3
2015-09,1924.2,1931.8,390.9,778.2,1014.5,909.7,917.3
2015-10,1819.1,1853.6,370.0,739.1,961.6,857.6,892.0
2015-11,1713.5,1758.6,333.4,672.7,869.8,843.7,888.8
2015-12,1703.7,1849.9,300.4,624.5,792.9,910.8,1057.0
2016-01,1802.3,1918.0,315.7,634.4,822.3,980.0,1095.7
2016-02,1886.7,2009.9,351.3,679.9,902.0,984.7,1107.9
2016-03,2112.3,2285.1,406.8,750.7,1026.2,1086.1,1258.9
2016-04,2455.3,2696.7,426.7,978.0,1171.7,1283.6,1525.0
2016-05,2111.0,2289.2,377.4,940.5,1074.1,1036.9,1215.1
2016-06,2114.1,2289.4,378.0,875.3,1042.4,1071.6,1247.0
2016-07,2406.2,2571.8,440.0,1003.1,1205.6,1200.6,1366.3
2016-08,2534.5,2752.0,447.6,1222.9,1327.6,1206.9,1424.4
2016-09,2324.1,2583.6,409.9,1212.3,1262.0,1062.1,1321.6
2016-10,2449.3,2773.6,449.2,1561.6,1499.5,949.8,1274.1
2016-11,2879.0,3284.3,564.5,2004.0,1905.2,973.8,1379.1
2016-12,3187.4,3595.4,589.2,1720.7,1803.1,1384.3,1792.3
2017-01,2991.9,3502.7,571.4,1633.1,1730.8,1261.1,1771.9
2017-02,3405.8,3625.0,687.9,1655.7,1928.5,1477.3,1696.5
2017-03,3365.3,3425.7,642.4,1830.1,1942.9,1422.4,1482.8
2017-04,2975.6,3009.5,507.9,1653.7,1639.5,1336.1,1370.0
2017-05,3109.9,3016.2,472.2,1533.9,1522.5,1587.4,1493.7
2017-06,3083.8,3169.8,435.0,1549.3,1470.6,1613.2,1699.2
2017-07,3522.4,3573.6,500.2,1874.4,1737.5,1784.9,1836.1
2017-08,3859.4,3957.0,560.7,2242.3,2018.3,1841.1,1938.7
2017-09,3843.1,4081.7,518.6,2218.9,1939.2,1903.9,2142.5
2017-10,3671.7,3985.4,448.6,1773.9,1604.7,2067.0,2380.7
2017-11,3774.8,3936.7,0.0,0.0,0.0,3774.8,3936.7
2017-12,3873.2,3914.8,0.0,0.0,0.0,3873.2,3914.8
2018-01,3858.7,3879.8,0.0,0.0,0.0,3858.7,3879.8
2018-02,3944.5,4003.3,0.0,0.0,0.0,3944.5,4003.3
2018-03,3655.8,3793.7,331.5,1381.9,1221.4,2434.5,2572.4
2018-04,3448.1,3585.9,456.1,1847.7,1653.6,1794.5,1932.3
2018-05,3633.4,3778.5,470.4,2032.8,1769.0,1864.4,2009.5
2018-06,3779.1,3902.2,465.0,2088.8,1788.4,1990.7,2113.8
2018-07,3911.8,3998.1,467.2,2064.1,1779.6,2132.2,2218.5
2018-08,4241.2,4220.3,496.7,2506.2,2047.8,2193.4,2172.5
2018-09,4110.3,4017.2,497.0,2327.0,1958.7,2151.6,2058.5
2018-10,4118.5,3896.8,522.7,2421.4,2047.0,2071.5,1849.8
2018-11,3807.1,3603.6,508.2,2290.0,1958.1,1849.0,1645.5
2018-12,3398.2,3372.4,481.1,2004.0,1771.8,1626.4,1600.6
2019-01,3583.1,3479.0,532.0,1998.9,1850.6,1732.4,1628.4
2019-02,3708.5,3667.6,617.8,2101.6,2039.3,1669.2,1628.3
2019-03,3769.3,3720.8,618.4,2015.5,1997.2,1772.1,1723.6
2019-04,3543.3,3389.0,640.0,2032.9,2040.4,1502.9,1348.6
2019-05,3805.3,3688.3,706.5,2211.0,2235.9,1569.4,1452.4
2019-06,3830.5,3722.0,778.1,2103.4,2296.7,1533.8,1425.3
2019-07,3993.1,3881.3,851.0,2138.6,2430.9,1562.2,1450.4
2019-08,3618.3,3670.2,634.2,1967.3,1998.4,1619.9,1671.8
2019-09,3461.6,3483.6,645.0,1935.4,1999.7,1461.9,1483.9
2019-10,3346.1,3346.7,628.9,1789.4,1900.9,1445.2,1445.8
2019-11,3529.0,3449.5,626.7,1781.8,1893.6,1635.4,1555.9
2019-12,3527.0,3596.3,545.1,1623.9,1684.1,1842.9,1912.2
2020-01,3562.8,3590.6,618.6,1724.6,1852.1,1710.7,1738.5
2020-02,3385.8,3392.0,205.2,714.1,685.4,2700.4,2706.6
2020-03,3447.9,3368.2,71.6,197.0,213.1,3234.8,3155.1
2020-04,3308.7,3139.8,0.0,0.0,0.0,3308.7,3139.8
