period,商品住宅施工面积_累计值(万平方米),商品住宅施工面积累计增长(%),商品住宅新开工施工面积_累计值(万平方米),商品住宅新开工施工面积累计增长(%),商品住宅竣工面积_累计值(万平方米),商品住宅竣工面积累计增长(%)
2025年12月,460122.6,-10.3,42983.66,-19.8,42830.13,-20.2
2025年11月,457551.43,-10.0,39189.0,-19.9,28104.96,-20.1
2025年10月,455253.26,-9.7,35952.1,-19.3,24866.1,-18.9
2025年9月,452165.38,-9.7,33273.15,-18.3,22227.78,-17.1
2025年8月,448459.62,-9.6,29303.81,-18.3,19875.87,-18.5
2025年7月,445106.83,-9.4,25881.26,-18.3,18066.54,-17.3
2025年6月,441239.9,-9.4,22288.31,-19.6,16266.21,-15.5
2025年5月,435354.31,-9.6,17088.58,-21.4,13336.88,-17.6
2025年4月,431936.75,-10.1,13163.98,-22.3,11424.29,-16.8
2025年3月,427236.72,-9.9,9491.97,-23.9,9501.72,-14.7
2025年2月,421351.37,-9.7,4820.91,-28.9,6328.11,-17.7
2024年12月,513329.58,-13.1,53660.37,-23.0,53741.25,-27.4
2024年11月,508388.74,-13.1,48989.49,-23.1,35197.35,-26.0
2024年10月,504492.68,-12.9,44568.66,-22.7,30702.04,-23.4
2024年9月,501050.68,-12.7,40745.02,-22.4,26870.55,-23.9
2024年8月,496052.41,-12.6,35908.81,-23.0,24393.1,-23.2
2024年7月,491532.44,-12.7,31683.96,-23.7,21866.7,-21.8
2024年6月,487436.68,-12.5,27747.84,-23.6,19259.01,-21.7
2024年5月,481557.1,-12.2,21759.93,-25.0,16199.37,-19.8
2024年4月,480646.6,-11.4,17005.67,-25.6,13745.79,-21.0
2024年3月,474580.41,-11.7,12534.02,-28.7,11147.95,-21.9
2024年2月,466635.99,-11.4,6795.71,-30.6,7694.0,-20.2
2023年12月,589884.26,-7.7,69285.61,-20.9,72432.59,17.2
2023年11月,585309.35,-7.6,63737.03,-21.5,47580.71,18.5
2023年10月,579361.46,-7.7,57658.9,-23.6,40079.28,19.3
2023年9月,574249.97,-7.4,52511.64,-23.9,35319.34,20.1
2023年8月,567791.72,-7.3,46636.07,-24.7,31775.39,19.5
2023年7月,563025.82,-7.1,41546.49,-25.0,27953.67,20.8
2023年6月,557083.19,-6.9,36339.64,-24.9,24603.62,18.5
2023年5月,548474.66,-6.5,29009.79,-22.7,20194.33,19.0
2023年4月,542968.14,-5.9,22899.88,-20.6,17395.98,19.2
2023年3月,538214.33,-5.4,17719.09,-17.8,14395.91,16.8
2023年2月,527695.21,-4.7,9891.04,-8.7,9781.5,9.7
2022年12月,639695.94,-7.3,88135.08,-39.8,62539.25,-14.3
2022年11月,633915.74,-6.7,81734.35,-39.5,40441.54,-18.4
2022年10月,628277.72,-5.9,75934.15,-38.5,33771.43,-18.5
2022年9月,621201.24,-5.4,69482.75,-38.7,29595.36,-19.6
2022年8月,613604.38,-4.8,62413.69,-38.1,26737.46,-20.8
2022年7月,607028.94,-3.8,55918.75,-36.8,23279.5,-22.7
2022年6月,599429.46,-2.9,48800.48,-35.4,20858.26,-20.6
2022年5月,586918.32,-1.1,37782.31,-31.9,17049.73,-14.2
2022年4月,577691.56,-0.1,28876.56,-28.4,14661.72,-11.4
2022年3月,569044.86,1.1,21558.38,-20.3,12322.65,-11.3
2022年2月,553513.53,2.0,10835.67,-14.9,8914.78,-9.6
2021年12月,690319.37,5.3,146378.56,-10.9,73016.2,10.8
2021年11月,679539.72,6.5,135017.36,-8.4,49582.28,16.2
2021年10月,667801.09,7.4,123480.57,-6.8,41415.46,16.9
2021年9月,656884.07,8.2,113374.46,-3.3,36816.18,24.4
2021年8月,644335.62,8.8,100765.33,-1.7,33771.05,27.4
2021年7月,631071.97,9.4,88473.99,0.4,30125.2,27.2
2021年6月,617479.66,10.5,75514.87,5.5,26253.82,27.0
2021年5月,593318.2,10.5,55514.74,9.1,19880.26,18.5
2021年4月,578027.53,10.9,40334.6,14.4,16551.23,20.7
2021年3月,563125.26,11.6,27056.81,30.1,13887.57,27.1
2021年2月,542503.28,11.2,12735.8,68.5,9862.01,45.9
2020年12月,655557.72,4.4,164328.53,-1.9,65910.03,-3.1
2020年11月,637903.41,4.0,147343.57,-2.7,42654.98,-5.8
2020年10月,621835.69,3.8,132481.09,-3.3,35442.72,-7.9
2020年9月,607030.7,4.0,117193.05,-4.2,29597.21,-10.5
2020年8月,592215.98,4.3,102485.89,-4.3,26498.31,-9.7
2020年7月,576909.26,4.1,88089.1,-5.1,23685.14,-10.2
2020年6月,558776.02,3.8,71582.86,-8.2,20680.37,-9.8
2020年5月,536765.19,3.5,50887.63,-13.9,16775.43,-10.9
2020年4月,521043.1,3.8,35248.31,-18.7,13709.33,-14.5
2020年3月,504616.07,4.1,20799.45,-26.9,10927.81,-16.2
2020年2月,487654.09,4.6,7559.46,-44.4,6760.93,-24.3
2019年12月,627673.42,10.1,167463.43,9.2,68011.11,3.0
2019年11月,613565.66,10.1,151447.4,9.3,45274.19,-4.0
2019年10月,598802.16,10.4,136936.72,10.5,38474.17,-5.5
2019年9月,583683.17,10.1,122308.45,8.8,33084.32,-8.5
2019年8月,568024.7,10.1,107052.97,8.9,29336.15,-9.6
2019年7月,554111.38,10.4,92826.47,9.6,26373.69,-10.5
2019年6月,538284.01,10.3,77997.85,10.5,22929.1,-11.7
2019年5月,518616.68,10.4,59124.72,11.4,18834.63,-10.9
2019年4月,501831.69,10.4,43334.64,13.8,16040.11,-7.5
2019年3月,484559.91,9.7,28466.61,11.5,13043.11,-8.1
2019年2月,466339.67,8.3,13596.56,4.3,8925.56,-7.8
2018年12月,569986.66,6.3,153352.57,19.7,66015.75,-8.1
2018年11月,557172.64,5.7,138535.53,19.3,47178.15,-12.7
2018年10月,542343.74,5.2,123874.66,19.0,40701.77,-12.6
2018年9月,530250.86,4.9,112410.87,19.4,36165.67,-12.3
2018年8月,515960.95,4.6,98306.99,19.7,32459.52,-13.2
2018年7月,502037.33,3.9,84684.81,18.0,29462.51,-12.2
2018年6月,487933.16,3.2,70610.71,15.0,25961.89,-12.8
2018年5月,469769.7,2.5,53097.76,13.2,21138.18,-12.8
2018年4月,454588.67,2.0,38079.09,9.4,17337.51,-13.8
2018年3月,441540.43,1.9,25531.27,12.2,14197.56,-14.0
2018年2月,430669.35,1.8,13031.53,5.0,9681.88,-17.1
2017年12月,536443.96,2.9,128097.78,10.5,71815.12,-7.0
2017年11月,527019.29,3.1,116089.4,10.8,54058.8,-4.1
2017年10月,515386.53,2.8,104125.41,9.6,46558.69,-2.7
2017年9月,505329.71,2.9,94112.69,11.1,41260.09,-1.9
