period,房地产施工面积_累计值(万平方米),房地产施工面积累计增长(%),房地产新开工施工面积_累计值(万平方米),房地产新开工施工面积累计增长(%),房地产竣工面积_累计值(万平方米),房地产竣工面积累计增长(%)
2025年12月,659890.29,-10.0,58769.96,-20.4,60348.13,-18.1
2025年11月,656066.2,-9.6,53456.7,-20.5,39453.93,-18.0
2025年10月,652939.03,-9.4,49061.39,-19.8,34861.0,-16.9
2025年9月,648579.75,-9.4,45399.32,-18.9,31128.88,-15.3
2025年8月,643108.94,-9.3,39801.01,-19.5,27693.54,-17.0
2025年7月,638731.27,-9.2,35206.14,-19.4,25034.41,-16.5
2025年6月,633321.43,-9.1,30364.32,-20.0,22566.61,-14.8
2025年5月,625019.54,-9.2,23183.61,-22.8,18385.14,-17.3
2025年4月,620315.05,-9.7,17835.84,-23.8,15647.85,-16.9
2025年3月,613705.44,-9.5,12996.46,-24.4,13060.27,-14.3
2025年2月,605972.35,-9.1,6613.94,-29.6,8764.21,-15.6
2024年12月,733247.36,-12.7,73892.84,-23.0,73743.21,-27.7
2024年11月,726013.91,-12.7,67308.44,-23.0,48151.71,-26.2
2024年10月,720659.8,-12.4,61226.93,-22.6,41995.15,-23.9
2024年9月,715967.59,-12.2,56050.75,-22.2,36815.56,-24.4
2024年8月,709420.5,-12.0,49464.89,-22.5,33393.56,-23.6
2024年7月,703285.74,-12.1,43732.89,-23.2,30016.52,-21.8
2024年6月,696817.85,-12.0,38022.53,-23.7,26518.89,-21.8
2024年5月,688895.68,-11.6,30089.53,-24.2,22245.03,-20.1
2024年4月,687544.48,-10.8,23509.73,-24.6,18860.34,-20.4
2024年3月,678501.0,-11.1,17282.82,-27.8,15258.65,-20.7
2024年2月,666901.62,-11.0,9428.94,-29.7,10394.66,-20.2
2023年12月,838364.46,-7.2,95375.53,-20.4,99831.09,17.0
2023年11月,831344.9,-7.2,87455.66,-21.2,65237.02,17.9
2023年10月,822894.94,-7.3,79176.6,-23.2,55150.72,19.0
2023年9月,815688.35,-7.1,72123.41,-23.4,48704.63,19.8
2023年8月,806415.25,-7.1,63891.13,-24.4,43726.13,19.2
2023年7月,799682.27,-6.8,56969.11,-24.5,38405.13,20.5
2023年6月,791548.25,-6.6,49879.5,-24.3,33903.81,19.0
2023年5月,779506.41,-6.2,39722.73,-22.6,27825.96,19.6
2023年4月,771271.07,-5.6,31219.95,-21.2,23677.73,18.8
2023年3月,764577.16,-5.2,24121.15,-19.2,19422.12,14.7
2023年2月,750239.55,-4.4,13567.23,-9.4,13177.78,8.0
2022年12月,904999.26,-7.2,120587.07,-39.4,86222.22,-15.0
2022年11月,896856.56,-6.5,111632.04,-38.9,55708.82,-19.0
2022年10月,888893.8,-5.7,103721.71,-37.8,46564.58,-18.7
2022年9月,878919.41,-5.3,94767.26,-38.0,40878.97,-19.9
2022年8月,868648.52,-4.5,85061.83,-37.2,36861.14,-21.1
2022年7月,859194.16,-3.7,76066.76,-36.1,32027.62,-23.3
2022年6月,848811.99,-2.8,66423.47,-34.4,28635.79,-21.5
2022年5月,831525.06,-1.0,51628.07,-30.6,23361.6,-15.3
2022年4月,818587.74,0.0,39739.01,-26.3,20030.06,-11.9
2022年3月,806259.46,1.0,29837.59,-17.5,16929.25,-11.5
2022年2月,784459.24,1.8,14966.74,-12.2,12199.53,-9.8
2021年12月,975386.51,5.2,198895.05,-11.4,101411.94,11.2
2021年11月,959653.82,6.3,182819.53,-9.1,68753.82,16.2
2021年10月,942858.63,7.1,166736.25,-7.7,57290.28,16.3
2021年9月,928064.72,7.9,152943.59,-4.5,51012.65,23.4
